# time_step [ps]	 rmsd [AA]
0.0 	 5.124179148845246 
2.0 	 5.342302546611211 
4.0 	 4.573351440675869 
6.0 	 5.781208600547094 
8.0 	 5.243040223274016 
10.0 	 5.310532154706957 
12.0 	 4.499591308610854 
14.0 	 4.827810781726819 
16.0 	 5.189723196376889 
18.0 	 5.198635494533802 
20.0 	 4.634415425772033 
22.0 	 4.476572863305478 
24.0 	 5.022714046821287 
26.0 	 3.7759832914665385 
28.0 	 3.792155893984876 
30.0 	 4.372849413553446 
32.0 	 4.777364570308574 
34.0 	 4.287622572441232 
36.0 	 5.301845933926287 
38.0 	 4.461779798260805 
40.0 	 5.9177788013705035 
42.0 	 6.816829579879663 
44.0 	 5.88836021208316 
46.0 	 5.013978528295616 
48.0 	 4.5363469398411 
50.0 	 5.744936929815578 
52.0 	 6.7875871515841455 
54.0 	 6.8898806091474825 
56.0 	 6.295799466910198 
58.0 	 7.1449736555292755 
60.0 	 6.817837674682343 
62.0 	 7.059314835372624 
64.0 	 6.724662380295182 
66.0 	 6.72401749537073 
68.0 	 5.871494413499212 
70.0 	 6.065033100984456 
72.0 	 6.0492398471583115 
74.0 	 4.960082463736714 
76.0 	 4.575990550006103 
78.0 	 4.793742796507765 
80.0 	 4.867739221196965 
82.0 	 4.673511549927907 
84.0 	 4.819737737348656 
86.0 	 4.877017184437048 
88.0 	 5.40185677040657 
90.0 	 5.197169727822705 
92.0 	 6.465066753719185 
94.0 	 6.285580876486105 
96.0 	 5.615219828815662 
98.0 	 6.152629359741506 
100.0 	 5.469907797163851 
102.0 	 5.568933287329344 
104.0 	 5.432130003145032 
106.0 	 4.8813805626057745 
108.0 	 4.896294899008934 
110.0 	 5.958588808883779 
112.0 	 6.408923259580784 
114.0 	 6.175638064989414 
116.0 	 4.334156855697459 
118.0 	 4.94770174543861 
120.0 	 6.6211489865697635 
122.0 	 5.104846596631777 
124.0 	 5.5378498617679845 
126.0 	 5.984669102463088 
128.0 	 5.072213795857278 
130.0 	 5.64543236192195 
132.0 	 5.05037048796024 
134.0 	 5.750131611011454 
136.0 	 6.22409000824411 
138.0 	 5.494685141443249 
140.0 	 5.363885329180881 
142.0 	 5.236069260506964 
144.0 	 4.064687607721657 
146.0 	 5.319319402359373 
148.0 	 5.077488632907584 
150.0 	 6.333638513957247 
152.0 	 5.216558394516452 
154.0 	 5.859674388715684 
156.0 	 4.352724113521899 
158.0 	 6.070616813964369 
160.0 	 5.125024025459424 
162.0 	 5.208572017657083 
164.0 	 4.7513273757060865 
166.0 	 4.107663694154429 
168.0 	 4.996581993206363 
170.0 	 4.672051141288852 
172.0 	 5.647625041389135 
174.0 	 5.408316680281335 
176.0 	 5.263213354539564 
178.0 	 4.899028020846168 
180.0 	 4.757699928068712 
182.0 	 4.088325763938423 
184.0 	 4.593398823540898 
186.0 	 4.435389824896435 
188.0 	 4.820420046253489 
190.0 	 4.360093136435318 
192.0 	 4.6089142159364265 
194.0 	 4.770776566125278 
196.0 	 5.426893419995221 
198.0 	 5.716592262087266 
200.0 	 5.276506755720117 
202.0 	 5.210988449845225 
204.0 	 5.209840695754229 
206.0 	 5.958690864103355 
208.0 	 6.388487201157785 
210.0 	 5.953781243503763 
212.0 	 6.61297093481907 
214.0 	 7.117767444997733 
216.0 	 7.251054554439796 
218.0 	 7.239918381294888 
220.0 	 6.497688654035027 
222.0 	 6.001259408771736 
224.0 	 6.501081186615254 
226.0 	 6.3274956476178215 
228.0 	 5.615054043202276 
230.0 	 5.44002860608744 
232.0 	 5.471342409826587 
234.0 	 6.559748522199117 
236.0 	 6.455564694228598 
238.0 	 5.159007239003888 
240.0 	 6.006891227774769 
242.0 	 5.176776381928479 
244.0 	 5.9125328180695735 
246.0 	 5.866147892834027 
248.0 	 5.570598204102874 
250.0 	 6.389298205637583 
252.0 	 6.99935671528473 
254.0 	 6.4763678394088195 
256.0 	 5.803769069348743 
258.0 	 5.8918336869626176 
260.0 	 4.934640758137233 
262.0 	 4.731673556426532 
264.0 	 4.451480954786885 
266.0 	 5.034690771382095 
268.0 	 4.910230099356159 
270.0 	 6.50351539051548 
272.0 	 7.225813096422177 
274.0 	 5.5848857732712105 
276.0 	 5.946398346790635 
278.0 	 4.931082084041246 
280.0 	 5.492700544350454 
282.0 	 5.753754430702093 
284.0 	 5.090681788813035 
286.0 	 4.379618444370422 
288.0 	 4.712205243106425 
290.0 	 5.378639994840659 
292.0 	 5.258499618671468 
294.0 	 5.9842797945387645 
296.0 	 5.264972911595374 
298.0 	 5.548056971805378 
300.0 	 6.511644153835032 
302.0 	 5.860157724301245 
304.0 	 5.5910942964075385 
306.0 	 6.8442155044738415 
308.0 	 5.730173666712764 
310.0 	 5.01859065479036 
312.0 	 5.96242971118797 
314.0 	 5.162256287845031 
316.0 	 5.441999621906257 
318.0 	 6.466078024777749 
320.0 	 6.129412819286921 
322.0 	 6.280536872708231 
324.0 	 5.7422344380244885 
326.0 	 5.510511150929238 
328.0 	 4.800846862106338 
330.0 	 5.365777685531441 
332.0 	 5.45650016295177 
334.0 	 5.819756165076267 
336.0 	 5.867465541984185 
338.0 	 5.623798370141667 
340.0 	 5.139347630783937 
342.0 	 5.4483392307056615 
344.0 	 6.274764218466848 
346.0 	 5.032436391986661 
