# time_step [ps]	 rmsd [AA]
0.0 	 12.876679384023175 
2.0 	 12.831997491504962 
4.0 	 12.143141181951618 
6.0 	 12.409399105287882 
8.0 	 12.209313725390649 
10.0 	 14.559975496189875 
12.0 	 13.894468578950914 
14.0 	 13.837215233836913 
16.0 	 15.628328888654963 
18.0 	 16.781807408647442 
20.0 	 16.173355121826937 
22.0 	 16.100026582944665 
24.0 	 15.914119126815248 
26.0 	 17.5751495002501 
28.0 	 17.119901902167626 
30.0 	 16.526449408937893 
32.0 	 17.631720185153494 
34.0 	 17.222815892153143 
36.0 	 18.38549005423019 
38.0 	 17.07636633266589 
40.0 	 18.735491397627705 
42.0 	 17.713335278481097 
44.0 	 18.39503030739361 
46.0 	 18.86093102738095 
48.0 	 19.829643552272106 
50.0 	 18.336092332319122 
52.0 	 19.03075876806039 
54.0 	 19.61555230592504 
56.0 	 18.90026725137025 
58.0 	 18.927634962433743 
60.0 	 19.07605215999807 
62.0 	 18.41255288486884 
64.0 	 18.883540058310416 
66.0 	 18.946118447779895 
68.0 	 17.30673967281166 
70.0 	 17.043353770199484 
72.0 	 17.845865949015057 
74.0 	 18.363292545283624 
76.0 	 17.60343115049048 
78.0 	 17.143536058527946 
80.0 	 17.03518054159711 
82.0 	 16.007511106079683 
84.0 	 15.418442545801982 
86.0 	 15.249871704921361 
88.0 	 16.383890401309678 
90.0 	 16.369143771889433 
92.0 	 16.058398368319722 
94.0 	 15.879166635924452 
96.0 	 15.245140286835479 
98.0 	 15.458751220593022 
100.0 	 14.87775020365345 
102.0 	 15.480422552822802 
104.0 	 15.26892888055037 
106.0 	 14.855203357910366 
108.0 	 16.003229437998673 
110.0 	 15.379920986570067 
112.0 	 15.062839987090214 
114.0 	 15.84040247241738 
116.0 	 16.084487287283068 
118.0 	 15.322019006113996 
120.0 	 15.929122788449328 
122.0 	 15.813082440451938 
124.0 	 16.532424050172313 
126.0 	 16.99075413914061 
128.0 	 16.95289720337525 
130.0 	 18.471304635989043 
132.0 	 16.401534666785356 
134.0 	 16.547743253947292 
136.0 	 17.689630125436093 
138.0 	 17.135631423275978 
140.0 	 16.90653490383658 
142.0 	 17.237848940207776 
144.0 	 17.066764946737912 
146.0 	 19.194897277404685 
148.0 	 18.60347567881368 
150.0 	 19.824402503501723 
152.0 	 18.596924682184493 
154.0 	 18.949044175715922 
156.0 	 18.695849519068066 
158.0 	 18.95723856404126 
160.0 	 19.022480964673264 
162.0 	 21.051170004368906 
164.0 	 21.280336674663978 
166.0 	 18.592695286520975 
168.0 	 19.571500230911976 
170.0 	 19.876741210003463 
172.0 	 19.125799140599447 
174.0 	 19.197767179444178 
176.0 	 18.393300056807746 
178.0 	 18.16626600320058 
180.0 	 17.853037392803913 
182.0 	 17.796292747728618 
184.0 	 17.771496362876086 
186.0 	 18.65556640052057 
188.0 	 17.602268709212424 
190.0 	 17.959725867877687 
192.0 	 18.035284187371307 
194.0 	 18.740547334621112 
196.0 	 18.91349685276826 
198.0 	 17.632562030587444 
200.0 	 18.16140524761521 
202.0 	 18.270469395900424 
204.0 	 17.300792029180155 
206.0 	 18.082087131515298 
208.0 	 18.104696833948147 
210.0 	 18.769566133737218 
212.0 	 19.531580216242798 
214.0 	 18.752949538645595 
216.0 	 20.00744655240023 
218.0 	 20.510521521889608 
220.0 	 19.60150985225733 
222.0 	 19.695295416700308 
224.0 	 18.587305778013445 
226.0 	 18.977450856064266 
228.0 	 19.923869870396903 
230.0 	 19.04972364152159 
232.0 	 19.104462759695068 
234.0 	 20.46283822970672 
236.0 	 20.01560861853775 
238.0 	 18.98343094167872 
240.0 	 19.638731727045688 
242.0 	 20.384502816957113 
244.0 	 20.690855021641866 
246.0 	 21.04639606212771 
248.0 	 19.914333276683934 
250.0 	 18.599658152288985 
252.0 	 19.135090564999324 
254.0 	 18.445728505133545 
256.0 	 19.12483141927986 
258.0 	 18.202547927392963 
260.0 	 17.389885546534796 
262.0 	 18.249625930236466 
264.0 	 17.34915024806745 
266.0 	 18.80642337034956 
268.0 	 18.31172574639379 
270.0 	 18.943141855360224 
272.0 	 18.538855844696588 
274.0 	 18.629801009061286 
276.0 	 18.30021386006617 
278.0 	 18.941402420920465 
280.0 	 17.855751298970556 
282.0 	 17.150200499662095 
284.0 	 17.517412982906805 
286.0 	 18.634128325446046 
288.0 	 17.216842853699866 
290.0 	 17.351882406508924 
292.0 	 17.71634178091928 
294.0 	 18.903619385293357 
296.0 	 19.472296228420266 
298.0 	 18.65446887391091 
300.0 	 18.921672265045192 
302.0 	 18.3171511415359 
304.0 	 17.981851843800033 
306.0 	 17.86349052237305 
308.0 	 16.938998662645265 
310.0 	 17.35392271356544 
312.0 	 16.844879530578396 
314.0 	 17.128019502004324 
316.0 	 17.942868325035807 
318.0 	 16.243970804383657 
320.0 	 16.74045712399395 
322.0 	 17.021265328967978 
324.0 	 17.198825141126736 
326.0 	 18.492161886255516 
328.0 	 17.516311547782287 
330.0 	 18.04704944937174 
332.0 	 17.13388984556056 
334.0 	 18.367401697809328 
336.0 	 17.986595435762453 
338.0 	 17.615937612123936 
340.0 	 16.972996286606044 
342.0 	 16.66620753212053 
344.0 	 16.56606350948881 
346.0 	 16.878568496684736 
348.0 	 16.964111720629028 
350.0 	 17.300236638735875 
352.0 	 16.86474341291078 
354.0 	 17.380358891931486 
356.0 	 17.535133800849334 
358.0 	 17.63387259905273 
360.0 	 18.779698738387374 
362.0 	 17.872316267221933 
364.0 	 19.358217319047085 
366.0 	 18.468295929477062 
368.0 	 17.99320227636155 
370.0 	 18.838108070266895 
372.0 	 19.01446588540981 
374.0 	 19.296537410964177 
376.0 	 19.40107341522817 
378.0 	 20.685754622994004 
380.0 	 20.168518826332257 
382.0 	 19.47832888644094 
384.0 	 19.39367350391785 
386.0 	 19.2783137397122 
388.0 	 20.39578311974321 
390.0 	 19.461897779583094 
392.0 	 19.790142158854525 
394.0 	 19.752788467539638 
396.0 	 19.95923878815373 
398.0 	 19.17925420242256 
400.0 	 20.583131907699933 
402.0 	 20.613557844915217 
404.0 	 21.20101727743894 
406.0 	 20.40976800062799 
408.0 	 19.291056971630027 
410.0 	 20.484807920295296 
412.0 	 19.760634032173115 
414.0 	 19.532085918179245 
416.0 	 20.18285442187137 
418.0 	 19.144768166764646 
420.0 	 20.49197766327432 
422.0 	 19.23142168980004 
424.0 	 18.986234776826972 
426.0 	 18.78028940883833 
428.0 	 17.86689155991509 
430.0 	 17.40598473024139 
432.0 	 18.590766670438377 
434.0 	 17.44411171413686 
436.0 	 17.92556831890216 
438.0 	 18.77649685222262 
440.0 	 18.153898276809116 
442.0 	 17.76309425276523 
444.0 	 18.275866178091253 
446.0 	 18.59245901230732 
448.0 	 18.315533769251847 
450.0 	 18.57020955265593 
452.0 	 18.747620503030422 
454.0 	 19.74762614035268 
456.0 	 18.55451966556299 
458.0 	 17.434190163740983 
460.0 	 17.986406805125213 
462.0 	 17.946693985817785 
464.0 	 19.07017409847176 
466.0 	 18.070753995849827 
468.0 	 17.055835901829617 
470.0 	 18.94282442395902 
472.0 	 17.779192123151443 
474.0 	 18.11781886083921 
476.0 	 17.21955880036093 
478.0 	 17.496504807750103 
480.0 	 17.734684897418727 
482.0 	 18.237873646058926 
484.0 	 19.474796713607816 
486.0 	 19.124788028575217 
488.0 	 18.845476447529254 
490.0 	 17.960496961219505 
492.0 	 18.231266312497397 
494.0 	 20.784279887525074 
496.0 	 19.148514213866072 
498.0 	 18.82048590258018 
500.0 	 18.93949708414544 
502.0 	 19.616955644157215 
504.0 	 18.978231061572252 
506.0 	 19.099292254348455 
508.0 	 18.868922292360686 
510.0 	 19.781644370703944 
512.0 	 19.64449321763628 
514.0 	 18.970145070606986 
516.0 	 18.930851023042944 
518.0 	 18.709476780397626 
520.0 	 19.49913301974831 
522.0 	 19.024947401400727 
524.0 	 19.326088883648353 
526.0 	 19.031525886341306 
528.0 	 19.169487079570963 
530.0 	 19.588560609972504 
532.0 	 19.901330287999755 
534.0 	 20.46796934063782 
536.0 	 19.363769530308993 
538.0 	 18.73980986569002 
540.0 	 18.44527871232341 
542.0 	 18.001563913692966 
544.0 	 18.074284015285617 
546.0 	 17.749907708098366 
548.0 	 18.05856436117636 
550.0 	 18.051733895555728 
552.0 	 18.644445027216666 
554.0 	 18.743365908940614 
556.0 	 19.54337537986458 
558.0 	 18.472204321459827 
560.0 	 18.590634610238176 
562.0 	 18.526196262397413 
564.0 	 19.225620452489952 
566.0 	 19.833451196527374 
568.0 	 19.163243954177943 
570.0 	 19.284299396390065 
572.0 	 18.96684829090503 
574.0 	 18.286249078928712 
576.0 	 18.481560352301962 
578.0 	 19.046361124574965 
580.0 	 19.98778445736559 
582.0 	 20.146145868594477 
584.0 	 19.491041837354878 
586.0 	 19.446536524393704 
588.0 	 20.232474785209504 
590.0 	 20.29327124393628 
592.0 	 20.341518239386886 
594.0 	 20.8727776325386 
596.0 	 21.092384901817493 
598.0 	 19.61099052433479 
600.0 	 19.27466142432437 
602.0 	 20.69335184939922 
604.0 	 20.625663837650276 
606.0 	 21.385208978618834 
608.0 	 22.686635848880606 
610.0 	 22.330219956963337 
612.0 	 22.344503605297604 
614.0 	 21.971211206665643 
616.0 	 21.812727386281455 
618.0 	 21.312730730011324 
620.0 	 22.014675518717656 
622.0 	 22.63321505270365 
624.0 	 22.86183761551722 
626.0 	 21.996380145375326 
628.0 	 21.19261285948498 
630.0 	 20.526602146054355 
632.0 	 20.371299059253168 
634.0 	 20.83748504614516 
636.0 	 19.90014733644975 
638.0 	 18.952127205792657 
640.0 	 19.006515188323487 
642.0 	 18.93218316847657 
644.0 	 18.32853801704746 
646.0 	 18.232647822625232 
648.0 	 17.571343519376036 
650.0 	 18.555783969278668 
652.0 	 18.061588164913143 
654.0 	 18.866271661111263 
656.0 	 19.035189176003616 
658.0 	 18.21161298136662 
660.0 	 18.42369756170009 
662.0 	 17.964253862800497 
664.0 	 18.31130981231365 
666.0 	 18.67758424312599 
668.0 	 17.498179563631354 
670.0 	 17.348579034482743 
672.0 	 17.77470740210874 
674.0 	 17.74706552599614 
676.0 	 17.393945009309626 
678.0 	 18.0094142480755 
680.0 	 17.58437178154266 
682.0 	 17.434529647773154 
684.0 	 17.940845751971196 
686.0 	 18.00271060641756 
688.0 	 17.762459521100233 
690.0 	 18.416464495927368 
692.0 	 18.32300624783509 
694.0 	 18.668718491163055 
696.0 	 18.614083786741556 
698.0 	 18.378473200791753 
700.0 	 18.796489111450224 
702.0 	 19.340325222385772 
704.0 	 18.7121468059112 
706.0 	 17.85549584472859 
708.0 	 17.616626648804974 
710.0 	 19.15778261901469 
712.0 	 18.787370833429225 
714.0 	 19.296918469255413 
716.0 	 17.78540468709831 
718.0 	 17.740966985691895 
720.0 	 17.673481715908622 
722.0 	 18.324805762149058 
724.0 	 18.052431284921802 
726.0 	 18.233131850570068 
728.0 	 18.07441570276096 
730.0 	 17.0466941253536 
732.0 	 17.834772118459426 
734.0 	 19.21753350505184 
736.0 	 19.160303991762476 
738.0 	 19.29164393442867 
740.0 	 18.99468346745051 
742.0 	 19.6776819576105 
744.0 	 18.28827351323491 
746.0 	 19.096699007498003 
748.0 	 19.30655725671829 
750.0 	 19.892322242789497 
752.0 	 20.180654641468884 
754.0 	 20.34804988413733 
756.0 	 20.311823250579938 
758.0 	 19.03596951452801 
760.0 	 18.995366934896158 
762.0 	 18.148930152526223 
764.0 	 19.243962490844066 
766.0 	 19.5697380421228 
768.0 	 19.119254153805286 
770.0 	 18.378352898880905 
772.0 	 18.97765713888096 
774.0 	 19.052197139320626 
776.0 	 19.151881040513945 
778.0 	 19.311743564875115 
780.0 	 19.217430695036985 
782.0 	 19.608827963900033 
784.0 	 19.875668137275426 
786.0 	 19.43496371503747 
788.0 	 17.2791563403225 
790.0 	 17.70456777711588 
792.0 	 18.44075046264138 
794.0 	 17.689572181823657 
796.0 	 16.85868221845276 
798.0 	 17.246404834157126 
800.0 	 16.428056512781634 
802.0 	 16.65526479332209 
804.0 	 17.020979358051424 
806.0 	 16.71810995587737 
808.0 	 17.194032096366037 
